                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8131,                 5.2634,                 4.0843,                0.00052,                0.06124,                0.00035,                0.00012,                 4.2864,                 5.9101,                 4.0981,             0.00065217,             0.00065217,             0.00065217
                      2,                  2.976,                 3.3486,                 2.9088,                0.00244,                0.09474,                0.00199,                0.00064,                 3.6356,                 4.5055,                 3.4742,              0.0012927,              0.0012927,              0.0012927
                      3,                   2.62,                 2.5955,                 2.3497,                0.36861,                0.21148,                0.15416,                0.04359,                 2.5596,                 4.7991,                 2.2906,              0.0019069,              0.0019069,              0.0019069
                      4,                 2.4236,                 2.2168,                 2.0668,                0.28559,                0.28422,                 0.1887,                0.06273,                 2.3653,                 4.2459,                 2.1242,              0.0018812,              0.0018812,              0.0018812
                      5,                 2.2885,                 2.0727,                 1.9079,                0.39447,                0.34473,                0.28751,                0.09712,                 2.1659,                 2.1913,                 1.9002,              0.0018416,              0.0018416,              0.0018416
                      6,                 2.2185,                 1.8972,                 1.8375,                0.48242,                0.42902,                0.39155,                0.15389,                 2.1601,                 1.8632,                   1.86,               0.001802,               0.001802,               0.001802
                      7,                 2.1508,                 1.8231,                 1.7732,                 0.3475,                0.28995,                0.25034,                0.09566,                 2.2948,                 2.4304,                 1.9551,              0.0017624,              0.0017624,              0.0017624
                      8,                 2.1253,                  1.765,                 1.7447,                0.54834,                0.42392,                0.43691,                0.17915,                 2.0618,                 1.8772,                 1.7633,              0.0017228,              0.0017228,              0.0017228
                      9,                 2.0761,                 1.6763,                 1.6724,                0.54935,                0.47177,                0.47253,                0.18334,                 2.0785,                 1.6273,                 1.7603,              0.0016832,              0.0016832,              0.0016832
                     10,                 2.0294,                 1.6458,                 1.6621,                0.63715,                0.46986,                 0.5188,                0.21294,                 1.9966,                 1.5607,                 1.7172,              0.0016436,              0.0016436,              0.0016436
                     11,                 2.0224,                  1.618,                 1.6431,                0.59783,                0.51005,                0.50706,                0.20966,                  2.011,                 1.5408,                 1.7531,               0.001604,               0.001604,               0.001604
                     12,                 2.0063,                 1.6057,                 1.6405,                0.59159,                0.49378,                0.50746,                0.22037,                 1.9625,                 1.5196,                  1.674,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.9682,                 1.5576,                 1.6108,                0.60098,                0.47656,                0.49139,                0.19542,                 1.9386,                 1.6842,                 1.6705,              0.0015248,              0.0015248,              0.0015248
                     14,                 1.9532,                 1.5043,                 1.5736,                0.60527,                0.49091,                0.52272,                0.22216,                 1.9626,                 1.5267,                 1.7049,              0.0014852,              0.0014852,              0.0014852
                     15,                 1.9253,                 1.4888,                 1.5628,                0.64863,                 0.5388,                0.54929,                0.24312,                 1.8768,                 1.4896,                 1.6233,              0.0014456,              0.0014456,              0.0014456
                     16,                 1.9393,                 1.4946,                 1.5657,                0.69237,                0.51483,                0.57864,                0.24696,                 1.9265,                 1.4707,                 1.6368,               0.001406,               0.001406,               0.001406
                     17,                 1.9016,                 1.4365,                  1.539,                0.61385,                0.52919,                0.55607,                 0.2599,                 1.9009,                 1.4661,                 1.6274,              0.0013664,              0.0013664,              0.0013664
                     18,                 1.9049,                 1.4536,                 1.5335,                0.62487,                0.54067,                0.55137,                0.25166,                  1.895,                 1.4369,                 1.6372,              0.0013268,              0.0013268,              0.0013268
